"Adresse","Type de contenu","Code HTTP","Statut","Indexabilité","Statut d'indexabilité","Title 1","Longueur du Title 1","Largeur en pixels du Title 1","Meta Description 1","Longueur de la Meta Description 1","Largeur en pixels de la Meta Description 1","Meta Keywords 1","Longueur des Meta Keywords 1","H1-1","Longueur du H1-1","H1-2","Longueur du H1-2","H2-1","Longueur du H2-1","H2-2","Longueur du H2-2","Meta Robots 1","Balise X-Robots 1","Meta Refresh 1","Élément de lien en version canonique 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","Élément de lien amphtml","Taille (octets)","Transféré (octets)","Total transféré (en octets)","CO2 (mg)","Empreinte carbone","Nombre de mots","Nombre de phrases","Moyenne de mots par phrase","Score de lisibilité de Flesch","Lisibilité","Ratio texte","Crawl profondeur","Profondeur du dossier","Link Score","Liens entrants","Liens entrants uniques","Liens entrants JS uniques","% du total","Liens sortants","Liens sortants uniques","Liens sortants JS uniques","Liens sortants externes","Liens sortants externes uniques","Liens sortants JS externes uniques","Quasi-doublon le plus proche","Nombre de quasi-doublons","Erreurs d'orthographe","Erreurs de grammaire","Hachage","Temps de réponse","Last Modified","URL de redirection","Type de redirection","Cookies","Language","Version HTTP","Lien alternate mobile","Adresse sémantiquement similaire la plus proche","Score de similarité sémantique","Nbre sémantiquement similaires","Score de pertinence sémantique","Adresse codée en URL","Horodatage du crawl"
"https://www.reefperfumes.fr/wp-content/uploads/2025/06/REEF_36_IN-510x510.png","text/html; charset=UTF-8","503","Service Temporarily Unavailable","Non indexable","Erreur de serveur","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","3","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,203","","","","","","1.1","","","","","","https://www.reefperfumes.fr/wp-content/uploads/2025/06/REEF_36_IN-510x510.png","2026-02-26 12:39:51"
"https://www.reefperfumes.fr/categorie-produit/reef-perfumes/page/3/","text/html; charset=UTF-8","503","Service Temporarily Unavailable","Non indexable","Erreur de serveur","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","3","4","","1","1","0","1,790","0","0","0","0","0","0","","","","","","0,219","","","","","","1.1","","","","","","https://www.reefperfumes.fr/categorie-produit/reef-perfumes/page/3/","2026-02-26 12:39:51"
"https://www.reefperfumes.fr/categorie-produit/reef-perfumes/page/2/","text/html; charset=UTF-8","503","Service Temporarily Unavailable","Non indexable","Erreur de serveur","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","3","4","","2","1","0","1,790","0","0","0","0","0","0","","","","","","0,200","","","","","","1.1","","","","","","https://www.reefperfumes.fr/categorie-produit/reef-perfumes/page/2/","2026-02-26 12:39:51"
"https://www.reefperfumes.fr/wp-content/uploads/2026/01/75013a47-a455-4ed7-8693-3e32cd105142-1000x1000-GTFvdss0SLEJS4qrg875pMeQfBftSixqfv3uZVKX.webp","text/html; charset=UTF-8","503","Service Temporarily Unavailable","Non indexable","Erreur de serveur","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","3","4","","1","1","0","1,790","0","0","0","0","0","0","","","","","","0,224","","","","","","1.1","","","","","","https://www.reefperfumes.fr/wp-content/uploads/2026/01/75013a47-a455-4ed7-8693-3e32cd105142-1000x1000-GTFvdss0SLEJS4qrg875pMeQfBftSixqfv3uZVKX.webp","2026-02-26 12:39:51"
"https://www.reefperfumes.fr/wp-content/uploads/2026/01/2e088840-b16c-4e51-a3b2-0f8f0dcb176c-1000x1000-318e6IkIIrlDZtzvpQSVec42wYRdOWvAEd5x0pqt-510x510.webp","text/html; charset=UTF-8","503","Service Temporarily Unavailable","Non indexable","Erreur de serveur","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","3","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,212","","","","","","1.1","","","","","","https://www.reefperfumes.fr/wp-content/uploads/2026/01/2e088840-b16c-4e51-a3b2-0f8f0dcb176c-1000x1000-318e6IkIIrlDZtzvpQSVec42wYRdOWvAEd5x0pqt-510x510.webp","2026-02-26 12:39:51"
"https://www.reefperfumes.fr/wp-content/uploads/2026/01/75013a47-a455-4ed7-8693-3e32cd105142-1000x1000-GTFvdss0SLEJS4qrg875pMeQfBftSixqfv3uZVKX-510x510.webp","text/html; charset=UTF-8","503","Service Temporarily Unavailable","Non indexable","Erreur de serveur","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","3","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,248","","","","","","1.1","","","","","","https://www.reefperfumes.fr/wp-content/uploads/2026/01/75013a47-a455-4ed7-8693-3e32cd105142-1000x1000-GTFvdss0SLEJS4qrg875pMeQfBftSixqfv3uZVKX-510x510.webp","2026-02-26 12:39:51"
"https://www.reefperfumes.fr/wp-content/uploads/2026/01/75013a47-a455-4ed7-8693-3e32cd105142-1000x1000-GTFvdss0SLEJS4qrg875pMeQfBftSixqfv3uZVKX-247x296.webp","text/html; charset=UTF-8","503","Service Temporarily Unavailable","Non indexable","Erreur de serveur","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","3","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,241","","","","","","1.1","","","","","","https://www.reefperfumes.fr/wp-content/uploads/2026/01/75013a47-a455-4ed7-8693-3e32cd105142-1000x1000-GTFvdss0SLEJS4qrg875pMeQfBftSixqfv3uZVKX-247x296.webp","2026-02-26 12:39:51"
"https://www.reefperfumes.fr/wp-content/uploads/2026/01/ba71de62-db8a-4b8b-b1ea-8dc508044e9f-1000x1000-EanzVGwvBqvrugGw8DBX4LQuYIRquZGepqMywrAY.webp","text/html; charset=UTF-8","503","Service Temporarily Unavailable","Non indexable","Erreur de serveur","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","3","4","","1","1","0","1,790","0","0","0","0","0","0","","","","","","0,223","","","","","","1.1","","","","","","https://www.reefperfumes.fr/wp-content/uploads/2026/01/ba71de62-db8a-4b8b-b1ea-8dc508044e9f-1000x1000-EanzVGwvBqvrugGw8DBX4LQuYIRquZGepqMywrAY.webp","2026-02-26 12:39:51"
"https://www.reefperfumes.fr/wp-content/uploads/2026/01/ba71de62-db8a-4b8b-b1ea-8dc508044e9f-1000x1000-EanzVGwvBqvrugGw8DBX4LQuYIRquZGepqMywrAY-247x296.webp","text/html; charset=UTF-8","503","Service Temporarily Unavailable","Non indexable","Erreur de serveur","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","3","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,240","","","","","","1.1","","","","","","https://www.reefperfumes.fr/wp-content/uploads/2026/01/ba71de62-db8a-4b8b-b1ea-8dc508044e9f-1000x1000-EanzVGwvBqvrugGw8DBX4LQuYIRquZGepqMywrAY-247x296.webp","2026-02-26 12:39:51"
"https://www.reefperfumes.fr/wp-content/uploads/2026/01/ff3593b6-234c-4c9c-a1ed-1da47366ceac-1000x1000-4bwT17p6X9ayvsv9TaYn9oyjERpzVoqDicNXWVEJ-100x100.webp","text/html; charset=UTF-8","503","Service Temporarily Unavailable","Non indexable","Erreur de serveur","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","3","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,276","","","","","","1.1","","","","","","https://www.reefperfumes.fr/wp-content/uploads/2026/01/ff3593b6-234c-4c9c-a1ed-1da47366ceac-1000x1000-4bwT17p6X9ayvsv9TaYn9oyjERpzVoqDicNXWVEJ-100x100.webp","2026-02-26 12:39:51"
"https://www.reefperfumes.fr/wp-content/uploads/2026/01/ba71de62-db8a-4b8b-b1ea-8dc508044e9f-1000x1000-EanzVGwvBqvrugGw8DBX4LQuYIRquZGepqMywrAY-510x510.webp","text/html; charset=UTF-8","503","Service Temporarily Unavailable","Non indexable","Erreur de serveur","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","3","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,253","","","","","","1.1","","","","","","https://www.reefperfumes.fr/wp-content/uploads/2026/01/ba71de62-db8a-4b8b-b1ea-8dc508044e9f-1000x1000-EanzVGwvBqvrugGw8DBX4LQuYIRquZGepqMywrAY-510x510.webp","2026-02-26 12:39:51"
"https://www.reefperfumes.fr/wp-content/uploads/2026/01/2e088840-b16c-4e51-a3b2-0f8f0dcb176c-1000x1000-318e6IkIIrlDZtzvpQSVec42wYRdOWvAEd5x0pqt.webp","text/html; charset=UTF-8","503","Service Temporarily Unavailable","Non indexable","Erreur de serveur","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","3","4","","1","1","0","1,790","0","0","0","0","0","0","","","","","","0,265","","","","","","1.1","","","","","","https://www.reefperfumes.fr/wp-content/uploads/2026/01/2e088840-b16c-4e51-a3b2-0f8f0dcb176c-1000x1000-318e6IkIIrlDZtzvpQSVec42wYRdOWvAEd5x0pqt.webp","2026-02-26 12:39:51"
"https://www.reefperfumes.fr/wp-content/uploads/2026/01/ad91fd3b-6462-47b5-b8d7-77f12d061666-1000x1000-6E6lquwYCAc2b7tNj6FScGYpbE3H2aN8GfWn1ozT-247x296.webp","text/html; charset=UTF-8","503","Service Temporarily Unavailable","Non indexable","Erreur de serveur","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","3","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,223","","","","","","1.1","","","","","","https://www.reefperfumes.fr/wp-content/uploads/2026/01/ad91fd3b-6462-47b5-b8d7-77f12d061666-1000x1000-6E6lquwYCAc2b7tNj6FScGYpbE3H2aN8GfWn1ozT-247x296.webp","2026-02-26 12:39:51"
"https://www.reefperfumes.fr/wp-content/uploads/2026/01/ad91fd3b-6462-47b5-b8d7-77f12d061666-1000x1000-6E6lquwYCAc2b7tNj6FScGYpbE3H2aN8GfWn1ozT-510x510.webp","text/html; charset=UTF-8","503","Service Temporarily Unavailable","Non indexable","Erreur de serveur","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","3","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,216","","","","","","1.1","","","","","","https://www.reefperfumes.fr/wp-content/uploads/2026/01/ad91fd3b-6462-47b5-b8d7-77f12d061666-1000x1000-6E6lquwYCAc2b7tNj6FScGYpbE3H2aN8GfWn1ozT-510x510.webp","2026-02-26 12:39:51"
"https://www.reefperfumes.fr/wp-content/uploads/2026/01/92fd3e4e-d3aa-4baf-b8b3-7799311f2f6b-1000x1000-cgnKbWRbS08628dUJ0BmQhqFWRHgywsOV7ctc7Gi-510x510.webp","text/html; charset=UTF-8","503","Service Temporarily Unavailable","Non indexable","Erreur de serveur","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","3","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,230","","","","","","1.1","","","","","","https://www.reefperfumes.fr/wp-content/uploads/2026/01/92fd3e4e-d3aa-4baf-b8b3-7799311f2f6b-1000x1000-cgnKbWRbS08628dUJ0BmQhqFWRHgywsOV7ctc7Gi-510x510.webp","2026-02-26 12:39:51"
"https://www.reefperfumes.fr/wp-content/uploads/2026/01/1927fd69-4d2f-4b7f-944c-d21bbff948a3-1000x1000-jNRnDPKLHAl8JLzp9iY7DqiHrnkgG7ZDT6pRB1Om-100x100.webp","text/html; charset=UTF-8","503","Service Temporarily Unavailable","Non indexable","Erreur de serveur","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","3","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,230","","","","","","1.1","","","","","","https://www.reefperfumes.fr/wp-content/uploads/2026/01/1927fd69-4d2f-4b7f-944c-d21bbff948a3-1000x1000-jNRnDPKLHAl8JLzp9iY7DqiHrnkgG7ZDT6pRB1Om-100x100.webp","2026-02-26 12:39:52"
"https://www.reefperfumes.fr/wp-content/uploads/2026/01/ad91fd3b-6462-47b5-b8d7-77f12d061666-1000x1000-6E6lquwYCAc2b7tNj6FScGYpbE3H2aN8GfWn1ozT.webp","text/html; charset=UTF-8","503","Service Temporarily Unavailable","Non indexable","Erreur de serveur","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","3","4","","1","1","0","1,790","0","0","0","0","0","0","","","","","","0,247","","","","","","1.1","","","","","","https://www.reefperfumes.fr/wp-content/uploads/2026/01/ad91fd3b-6462-47b5-b8d7-77f12d061666-1000x1000-6E6lquwYCAc2b7tNj6FScGYpbE3H2aN8GfWn1ozT.webp","2026-02-26 12:39:52"
"https://www.reefperfumes.fr/wp-content/uploads/2026/01/92fd3e4e-d3aa-4baf-b8b3-7799311f2f6b-1000x1000-cgnKbWRbS08628dUJ0BmQhqFWRHgywsOV7ctc7Gi.webp","text/html; charset=UTF-8","503","Service Temporarily Unavailable","Non indexable","Erreur de serveur","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","3","4","","1","1","0","1,790","0","0","0","0","0","0","","","","","","0,223","","","","","","1.1","","","","","","https://www.reefperfumes.fr/wp-content/uploads/2026/01/92fd3e4e-d3aa-4baf-b8b3-7799311f2f6b-1000x1000-cgnKbWRbS08628dUJ0BmQhqFWRHgywsOV7ctc7Gi.webp","2026-02-26 12:39:52"
"https://www.reefperfumes.fr/wp-content/uploads/2026/01/48393c40-c961-4c54-bc5d-94a4bc2b0eec-1000x1000-sUGk0aznygiVwT04dyGhS7kijuL7fyxvJjqspVu3.webp","text/html; charset=UTF-8","503","Service Temporarily Unavailable","Non indexable","Erreur de serveur","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","3","4","","1","1","0","1,790","0","0","0","0","0","0","","","","","","0,208","","","","","","1.1","","","","","","https://www.reefperfumes.fr/wp-content/uploads/2026/01/48393c40-c961-4c54-bc5d-94a4bc2b0eec-1000x1000-sUGk0aznygiVwT04dyGhS7kijuL7fyxvJjqspVu3.webp","2026-02-26 12:39:52"
"https://www.reefperfumes.fr/wp-content/uploads/2026/01/48393c40-c961-4c54-bc5d-94a4bc2b0eec-1000x1000-sUGk0aznygiVwT04dyGhS7kijuL7fyxvJjqspVu3-247x296.webp","text/html; charset=UTF-8","503","Service Temporarily Unavailable","Non indexable","Erreur de serveur","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","3","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,260","","","","","","1.1","","","","","","https://www.reefperfumes.fr/wp-content/uploads/2026/01/48393c40-c961-4c54-bc5d-94a4bc2b0eec-1000x1000-sUGk0aznygiVwT04dyGhS7kijuL7fyxvJjqspVu3-247x296.webp","2026-02-26 12:39:52"
"https://www.reefperfumes.fr/wp-content/uploads/2026/01/ff3593b6-234c-4c9c-a1ed-1da47366ceac-1000x1000-4bwT17p6X9ayvsv9TaYn9oyjERpzVoqDicNXWVEJ.webp","text/html; charset=UTF-8","503","Service Temporarily Unavailable","Non indexable","Erreur de serveur","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","3","4","","1","1","0","1,790","0","0","0","0","0","0","","","","","","0,208","","","","","","1.1","","","","","","https://www.reefperfumes.fr/wp-content/uploads/2026/01/ff3593b6-234c-4c9c-a1ed-1da47366ceac-1000x1000-4bwT17p6X9ayvsv9TaYn9oyjERpzVoqDicNXWVEJ.webp","2026-02-26 12:39:52"
"https://www.reefperfumes.fr/wp-content/uploads/2026/01/7407611a-f7e0-4a4d-99ab-8daaff821227-1000x1000-bAFMbHUvjQdcO4R0ZtlQ1Tu9mm8RkiVaLkvx5pNA-510x510.webp","text/html; charset=UTF-8","503","Service Temporarily Unavailable","Non indexable","Erreur de serveur","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","3","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,203","","","","","","1.1","","","","","","https://www.reefperfumes.fr/wp-content/uploads/2026/01/7407611a-f7e0-4a4d-99ab-8daaff821227-1000x1000-bAFMbHUvjQdcO4R0ZtlQ1Tu9mm8RkiVaLkvx5pNA-510x510.webp","2026-02-26 12:39:52"
"https://www.reefperfumes.fr/wp-content/uploads/2026/01/48393c40-c961-4c54-bc5d-94a4bc2b0eec-1000x1000-sUGk0aznygiVwT04dyGhS7kijuL7fyxvJjqspVu3-510x510.webp","text/html; charset=UTF-8","503","Service Temporarily Unavailable","Non indexable","Erreur de serveur","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","3","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,190","","","","","","1.1","","","","","","https://www.reefperfumes.fr/wp-content/uploads/2026/01/48393c40-c961-4c54-bc5d-94a4bc2b0eec-1000x1000-sUGk0aznygiVwT04dyGhS7kijuL7fyxvJjqspVu3-510x510.webp","2026-02-26 12:39:52"
"https://www.reefperfumes.fr/wp-content/uploads/2026/01/ff3593b6-234c-4c9c-a1ed-1da47366ceac-1000x1000-4bwT17p6X9ayvsv9TaYn9oyjERpzVoqDicNXWVEJ-510x510.webp","text/html; charset=UTF-8","503","Service Temporarily Unavailable","Non indexable","Erreur de serveur","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","3","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,224","","","","","","1.1","","","","","","https://www.reefperfumes.fr/wp-content/uploads/2026/01/ff3593b6-234c-4c9c-a1ed-1da47366ceac-1000x1000-4bwT17p6X9ayvsv9TaYn9oyjERpzVoqDicNXWVEJ-510x510.webp","2026-02-26 12:39:52"
"https://www.reefperfumes.fr/wp-content/uploads/2026/01/7407611a-f7e0-4a4d-99ab-8daaff821227-1000x1000-bAFMbHUvjQdcO4R0ZtlQ1Tu9mm8RkiVaLkvx5pNA.webp","text/html; charset=UTF-8","503","Service Temporarily Unavailable","Non indexable","Erreur de serveur","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","3","4","","1","1","0","1,790","0","0","0","0","0","0","","","","","","0,220","","","","","","1.1","","","","","","https://www.reefperfumes.fr/wp-content/uploads/2026/01/7407611a-f7e0-4a4d-99ab-8daaff821227-1000x1000-bAFMbHUvjQdcO4R0ZtlQ1Tu9mm8RkiVaLkvx5pNA.webp","2026-02-26 12:39:52"
"https://www.reefperfumes.fr/wp-content/uploads/2026/01/7407611a-f7e0-4a4d-99ab-8daaff821227-1000x1000-bAFMbHUvjQdcO4R0ZtlQ1Tu9mm8RkiVaLkvx5pNA-247x296.webp","text/html; charset=UTF-8","503","Service Temporarily Unavailable","Non indexable","Erreur de serveur","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","3","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,219","","","","","","1.1","","","","","","https://www.reefperfumes.fr/wp-content/uploads/2026/01/7407611a-f7e0-4a4d-99ab-8daaff821227-1000x1000-bAFMbHUvjQdcO4R0ZtlQ1Tu9mm8RkiVaLkvx5pNA-247x296.webp","2026-02-26 12:39:52"
"https://www.reefperfumes.fr/wp-content/uploads/2026/01/2e088840-b16c-4e51-a3b2-0f8f0dcb176c-1000x1000-318e6IkIIrlDZtzvpQSVec42wYRdOWvAEd5x0pqt-100x100.webp","text/html; charset=UTF-8","503","Service Temporarily Unavailable","Non indexable","Erreur de serveur","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","3","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,221","","","","","","1.1","","","","","","https://www.reefperfumes.fr/wp-content/uploads/2026/01/2e088840-b16c-4e51-a3b2-0f8f0dcb176c-1000x1000-318e6IkIIrlDZtzvpQSVec42wYRdOWvAEd5x0pqt-100x100.webp","2026-02-26 12:39:52"
"https://www.reefperfumes.fr/wp-content/uploads/2026/01/74bcecc7-4784-410e-9611-24868fb0cd04-1000x1000-G1UdEoH9W8iF1g0YWCmcTQRXuOAkjwXqL59GR2zt-247x296.webp","text/html; charset=UTF-8","503","Service Temporarily Unavailable","Non indexable","Erreur de serveur","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","3","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,217","","","","","","1.1","","","","","","https://www.reefperfumes.fr/wp-content/uploads/2026/01/74bcecc7-4784-410e-9611-24868fb0cd04-1000x1000-G1UdEoH9W8iF1g0YWCmcTQRXuOAkjwXqL59GR2zt-247x296.webp","2026-02-26 12:39:52"
